iter	Logloss
0	0.6872532019
1	0.682105418
2	0.6758847183
3	0.6710992449
4	0.6654581649
5	0.6602198569
6	0.6546279822
7	0.6499629503
8	0.6445306499
9	0.6395447977
10	0.636313192
11	0.6313351835
12	0.6263913358
13	0.6211222102
14	0.6170556572
15	0.6118597824
16	0.6080663445
17	0.6049801687
18	0.6010182413
19	0.5976182745
20	0.5931473636
21	0.5888819748
22	0.5857737252
23	0.5820266638
24	0.5786414414
25	0.5750890153
26	0.5725327395
27	0.568168383
28	0.5649266189
29	0.5616561375
30	0.5597220003
31	0.5567481223
32	0.5533758442
33	0.5502714521
34	0.5481149909
35	0.5452669122
36	0.5423884017
37	0.5402674729
38	0.5379754827
39	0.5346637683
40	0.5325039639
41	0.5297768411
42	0.52721165
43	0.5247399405
44	0.5221180862
45	0.5201590892
46	0.5175366348
47	0.5154076051
48	0.5127895227
49	0.5103419443
50	0.5085338635
51	0.5063173101
52	0.5047813158
53	0.5025009841
54	0.5007805556
55	0.4991812545
56	0.4970686838
57	0.4954583672
58	0.493605453
59	0.491532315
60	0.4899467725
61	0.48854605
62	0.4871160957
63	0.4850925488
64	0.4834587869
65	0.481635533
66	0.4804308173
67	0.4786842861
68	0.4776511889
69	0.476328389
70	0.4754936133
71	0.4741505826
72	0.4728302688
73	0.4710941529
74	0.4698336312
75	0.4679016799
76	0.4663980034
77	0.4650318703
78	0.4638584008
79	0.4620001289
80	0.4605328849
81	0.4599426784
82	0.4589985622
83	0.4575647076
84	0.4565947029
85	0.4553757571
86	0.454282182
87	0.4537118633
88	0.452842541
89	0.4521069044
90	0.4510803223
91	0.4501313199
92	0.4492142924
93	0.4480460521
94	0.4473715793
95	0.446447051
96	0.445353133
97	0.4444815818
98	0.4435353226
99	0.4426588851
100	0.4419015606
101	0.4407041743
102	0.4400023557
103	0.4394598114
104	0.4387915965
105	0.4379066724
106	0.4369661996
107	0.4365188084
108	0.4356613159
109	0.434885175
110	0.4340292256
111	0.4335960645
112	0.4333000612
113	0.4321368357
114	0.4314458611
115	0.4307205972
116	0.4296568538
117	0.4287867171
118	0.4276542664
119	0.4268049604
120	0.4262017239
121	0.4257068848
122	0.4252945546
123	0.4247373088
124	0.4242446985
125	0.4236011291
126	0.422729235
127	0.4222800437
128	0.4219394212
129	0.4214559834
130	0.4209719883
131	0.4203222896
132	0.4196388588
133	0.4192138415
134	0.4186208918
135	0.4181592277
136	0.4173788864
137	0.4167505757
138	0.4160383417
139	0.415681989
140	0.4148941897
141	0.4145488953
142	0.4139385438
143	0.4133078757
144	0.4130050145
145	0.4125583091
146	0.4118627913
147	0.4113292908
148	0.4108806996
149	0.4105869679
150	0.4102666619
151	0.4096879423
152	0.4093567495
153	0.4087619567
154	0.4085179875
155	0.4081610347
156	0.4078949918
157	0.4075523119
158	0.4071807433
159	0.4070631734
160	0.4065619479
161	0.4062447709
162	0.4059449957
163	0.4054213963
164	0.40512415
165	0.4048052584
166	0.4045078835
167	0.4042321966
168	0.4040917386
169	0.4036080864
170	0.4033305136
171	0.402955216
172	0.4027054176
173	0.4024934233
174	0.4019218188
175	0.4016971374
176	0.4015198611
177	0.4012533038
178	0.400763951
179	0.4005148813
180	0.4003174171
181	0.4000428446
182	0.3996047116
183	0.3992178842
184	0.398835643
185	0.398405868
186	0.3980911341
187	0.3979145436
188	0.3974644522
189	0.3972636876
190	0.396933652
191	0.3966825249
192	0.3964963763
193	0.3962228325
194	0.3960869178
195	0.3959383589
196	0.3957576537
197	0.3953421089
198	0.3950197027
199	0.3946287605
200	0.3944030933
201	0.3943369147
202	0.3940368395
203	0.3938792368
204	0.3937185052
205	0.3932268807
206	0.3926968521
207	0.392618115
208	0.3924119071
209	0.3922112711
210	0.3920228937
211	0.3916743418
212	0.3914489746
213	0.3911515139
214	0.3907839314
215	0.3905887389
216	0.3903539422
217	0.3901167452
218	0.3899118659
219	0.3895992322
220	0.3891564273
221	0.3888715251
222	0.3886498441
223	0.388383501
224	0.3882476721
225	0.3879923445
226	0.3877615768
227	0.3873687058
228	0.3870896329
229	0.3868928545
230	0.3866854035
231	0.3864436203
232	0.3862454275
233	0.3861268719
234	0.3859059623
235	0.3856413766
236	0.3855307933
237	0.3854480701
238	0.3851145626
239	0.3849807053
240	0.3847237919
241	0.3845640032
242	0.3843791404
243	0.3842631994
244	0.3841007104
245	0.3840216733
246	0.3838426397
247	0.3836773647
248	0.3835783541
249	0.3835024887
